sl no,date,daily travel emission,daily energy emission,daily dietary emission,daily waste emission,daily water emission,daily appliances emission,daily activity emission
2747,2/11/2018,1,20,5.544,1,1.648,4.546,20.358
2748,28/2/2018,3.809,19.136,11.389,3.61,5,4.337,47
2749,28/2/2018,3.44,11.258,12,3.62,4.606,4.603,47
2750,19/6/2018,2.638,5,12,3.57,1.806,3.312,21.476
2751,10/11/2018,2.739,20,2,4.44,1,1.044,27.421
2752,12/6/2018,2.854,5.24,5.544,2.68,2.469,3.364,17
2753,23/10/2018,2.916,11.47,8.281,3.18,1.175,2.548,23.044
2754,12/2/2018,4.026,5,12,2.55,3.497,4.438,26.69
2755,19/6/2018,2.469,5.146,12,4.35,1,4.69,33.3
2756,23/8/2018,3.649,10.875,12,1.61,1.749,4.462,41.048
2757,27/2/2018,1,19.844,9.479,3.3,4.513,1,47
2758,1/2/2018,5,7.909,6.248,4.11,1.694,4.058,39.737
2759,11/2/2018,3.512,12.581,2,4.11,1.227,1,47
2760,2/3/2019,4.032,10.423,11.608,2.48,4.635,1.516,40.318
2761,15/2/2018,3.303,20,6.478,1,1.558,5,41.455
2762,4/2/2018,2.478,10.272,6.104,4.08,5,1.332,22.772
2763,19/2/2018,1.672,5,2,4.17,3.361,3.298,17
2764,26/2/2018,2.48,5,12,3.29,1.466,1.931,17.994
2765,10/11/2018,1,11.715,4.072,2.45,3.479,4.472,39.325
2766,11/2/2018,2.83,20,4.739,4.33,2.8,3.637,41.625
2767,12/2/2018,1.494,5,6.173,2.6,4.488,3.516,30.986
2768,3/2/2018,2.645,20,7.902,3.29,5,4.703,44.03
2769,27/2/2018,1.99,5,11.188,2.2,2.444,4.569,23.027
2770,4/2/2018,3.332,10.759,11.928,1,3.142,3.256,23.51
2771,11/2/2018,3.506,9.452,2,2.71,1,3.77,23.623
2772,4/2/2018,2.676,5,12,4.32,3.42,1.773,42.964
2773,3/2/2018,2.772,5,6.221,3.99,4.349,4.434,17
2774,28/2/2018,3.287,6.682,9.676,4.49,3.364,1.735,33.633
2775,27/2/2018,3.511,10.748,4.574,1,3.446,1.328,28.768
2776,8/11/2018,3.751,11.606,5.619,1.79,2.539,1,40.715
2777,25/2/2018,1.649,10.608,2.884,4,4.204,5,32.222
2778,3/2/2018,4.941,10.336,8.429,2.29,3.04,3.542,19.99
2779,11/2/2018,2.626,5,2,1.91,4.556,3.389,27.798
2780,10/2/2018,4.723,11.767,2,2.06,1.81,2.417,19.53
2781,12/2/2018,2.465,7.789,11.941,3.66,1.884,3.608,44.839
2782,20/6/2018,2.962,5.621,6.332,2.51,4.708,1.375,47
2783,11/2/2018,5,10.401,11.621,4.02,1.86,4.954,42.157
2784,11/2/2018,2.666,12.126,8.388,4.19,3.321,4.266,42.83
2785,11/2/2018,2.224,5.124,2,1.59,1,4.704,17
2786,20/2/2018,1.358,5,7.988,4.49,1.437,3.34,28.409
2787,3/1/2018,2.724,11.24,8.784,3.43,2.546,4.03,47
2788,27/2/2018,1.449,11.988,12,3.3,1,4.601,47
2789,16/2/2018,1,6.801,2,5,1,1.416,22.268
2790,9/11/2018,1.823,10.496,10.499,1.67,3.497,4.209,17
2791,14/2/2018,4.004,5.995,12,4.15,3.321,4.583,20.237
2792,12/2/2018,2.753,5,2,4.57,2.928,4.452,25.528
2793,19/2/2018,4.134,8.879,2,4.9,3.099,1.589,22.268
2794,10/11/2018,1.382,12.821,10.658,3.55,3.562,3.813,17
2795,12/2/2018,5,5,7.539,3.51,4.72,1.833,47
2796,11/2/2018,4.789,5,4.419,3.8,2.386,1,38.111
2797,28/2/2018,1.662,18.586,6.267,3.38,3.332,4.443,43.967
2798,21/2/2018,2.554,10.481,2,3.93,1.906,4.108,21.191
2799,27/2/2018,1.955,12.887,2.162,4.37,1.585,4.668,17
2800,2/2/2018,3.385,5,12,2.6,2.929,1.525,20.85
2801,17/2/2018,1.354,12.932,9.727,4.37,5,4.082,17
2802,27/2/2018,2.661,20,2,2.43,3.113,1.686,29.271
2803,19/6/2018,2.47,5,10.016,1.38,4.576,3.537,46.417
2804,10/2/2018,1,5,12,2.67,2.808,4.489,23.566
2805,11/2/2018,3.402,13.785,10.246,1.2,1.071,2.224,47
2806,11/2/2018,3.208,14.451,2,3.3,1,3.521,42.103
2807,26/10/2018,2.514,10.459,2,4.21,3.568,1.161,17
2808,12/2/2018,2.037,6.026,3.031,4.62,3.258,3.896,21.909
2809,11/2/2018,2.558,10.991,8.407,4.3,2.465,4.088,35.466
2810,11/2/2018,2.483,16.53,8.731,2.63,5,1,47
2811,28/2/2018,3.152,20,5.013,1.39,1.873,4.707,47
2812,11/2/2018,3.366,10.664,2,3.28,3.676,4.526,20.57
2813,15/2/2018,3.357,20,7.229,4.22,2.627,4.168,47
2814,28/2/2018,4.137,5,3.892,2.32,2.482,3.336,20.261
2815,11/2/2018,5,18.386,2,2.76,1.024,3.823,40.941
2816,23/2/2018,1,18.945,11.523,3.86,1.359,3.06,23.833
2817,19/2/2018,2.098,5,9.962,3.64,1.136,1,47
2818,11/11/2018,1,5,10.877,2.44,1.677,3.339,35.436
2819,17/10/2018,2.902,5,7.294,3.89,2.671,4.497,22.671
2820,11/2/2018,4.515,7.893,4.555,4.01,1.823,5,47
2821,23/6/2018,2.479,20,2,4.44,2.418,3.341,25.124
2822,11/2/2018,2.475,13.368,2,4.47,2.558,4.239,30.962
2823,20/2/2018,3.976,5,12,3.33,1.104,4.496,42.052
2824,28/2/2018,4.535,10.992,12,4.58,1.861,4.554,35.893
2825,28/2/2019,1,14.157,12,3.55,3.521,4.669,20.981
2826,12/2/2018,2.471,11.556,2,2.12,2.445,4.312,25.075
2827,3/2/2018,3.622,11.279,2,3.74,3.505,4.649,20.223
2828,19/6/2018,2.489,15.095,12,1.91,3.998,3.989,19.481
2829,10/11/2018,2.75,12.63,2,3.29,1.611,3.779,34.114
2830,28/2/2018,5,12.261,12,1,1.756,4.662,41.409
2831,9/2/2018,1.419,20,2,2.62,1.372,1.813,33.301
2832,11/2/2018,2.679,13.432,2,3.47,1,2.664,29.168
2833,25/2/2018,1.366,11.93,7.697,3.32,3.392,4.488,24.647
2834,9/2/2018,1,5,5.848,3.28,2.378,4.375,43.435
2835,28/2/2018,5,10.257,12,5,1.923,3.46,31.669
2836,11/2/2018,1.484,20,2,2.51,5,1.62,42.138
2837,11/2/2018,2.752,5,2,3.28,4.338,2.922,22.646
2838,14/1/2018,3.011,5,2,3.64,3.196,3.746,20.941
2839,17/10/2018,2.495,5,6.678,3.37,4.614,3.956,20.555
2840,20/6/2018,3.628,11.708,6.899,4.37,3.092,3.577,17
2841,11/2/2018,5,5,2.486,2.73,3.525,3.262,42.573
2842,25/10/2018,1.432,10.324,2,4.13,1.808,5,20.166
2843,11/2/2018,4.13,11.466,2.133,3.3,1.726,4.197,25.681
2844,22/10/2018,4.332,20,3.309,1.34,2.557,2.519,37.831
2845,18/2/2018,4.249,20,6.07,1.39,1.6,2.719,26.784
2846,26/10/2018,1.348,5,5.5,4.11,2.757,3.697,19.469
2847,19/2/2018,2.101,18.491,6.34,3.34,3.271,4.557,21.676
2848,12/2/2018,1.447,5,2,1,3.566,3.474,31.936
2849,11/2/2018,3.295,10.373,4.578,1.76,3.355,2.483,31.541
2850,11/2/2018,1.063,11.359,5.512,3.3,1.712,4.662,47
2851,27/2/2018,2.47,10.415,6.054,3.32,3.019,4.082,17
2852,12/2/2018,5,5,12,3.66,2.655,4.279,41.71
2853,11/2/2018,2.43,20,2,1.13,1.556,5,23.385
2854,20/2/2018,4.07,15.934,12,2.89,1.03,3.611,17
2855,20/2/2018,1,20,12,1.35,1,4.069,17
2856,10/2/2018,4.033,8.051,3.739,1,3.426,2.714,38.793
2857,3/2/2018,2.944,16.344,2,1.43,3.428,1,37.079
2858,3/2/2018,2.765,13.237,7.893,4.59,1.786,4.685,38.419
2859,4/2/2018,2.524,20,3.463,3.84,3.255,5,43.143
2860,15/2/2018,3.694,5.925,3.407,3.37,1.43,2.158,33.934
2861,23/6/2018,3.367,10.291,2,1.71,4.661,1.393,20.505
2862,12/2/2018,4.02,12.324,12,2.56,4.702,1.398,42.09
2863,7/2/2018,1.279,5,4.762,3.28,1.33,4.684,26.735
2864,12/2/2018,4.014,12.735,2,3.28,1.446,1,32.917
2865,27/2/2018,2.479,5,4.622,4.14,3.461,2.062,33.547
2866,27/2/2018,3.461,5,11.754,3.75,1.873,4.091,41.508
2867,11/11/2018,2.331,5,12,3.93,2.575,4.611,20.166
2868,9/2/2018,5,14.08,2,2.91,1.916,3.638,36.374
2869,27/2/2018,1.367,5.435,12,3.41,3.53,3.575,38.358
2870,3/2/2018,2.488,13.074,12,1.64,4.839,1,39.331
2871,27/2/2018,1.881,5,5.649,3.9,4.245,4.418,38.451
2872,17/2/2018,3.149,11.121,3.225,2.9,1.925,3.982,47
2873,3/2/2018,3.289,5,2.896,3.33,3.39,1.6,26.761
2874,12/2/2018,1,15.315,7.608,1,3.185,1.658,41.251
2875,8/1/2018,3.259,20,2,1,2.394,3.345,34.305
2876,12/2/2018,2.565,5,12,4.59,4.037,3.587,17
2877,9/2/2018,1.702,5,2,2.52,1.729,3.586,17
2878,2/2/2018,2.472,20,12,3.49,1,1,23.071
2879,28/2/2018,2.461,11.32,4.881,2.45,3.296,4.604,41.918
2880,11/2/2018,1.838,10.313,2,1.79,1.916,2.46,30.549
2881,11/2/2018,1.404,12.301,5.237,1.88,1,3.284,17
2882,3/2/2018,3.547,11.286,2,2.48,1.09,5,47
2883,4/2/2018,1,13.773,6.405,3.38,1.581,4.039,42.757
2884,12/2/2018,3.757,14.91,6.075,3.3,2.519,1.611,43.847
2885,3/2/2018,4.197,9.049,2,4.49,1.91,4.212,45.975
2886,3/2/2018,1,13.977,12,3.83,4.747,5,23.571
2887,18/10/2018,2.463,13.904,7.308,1,2.489,1,17
2888,12/2/2018,1,5,12,5,2.628,3.286,37.531
2889,27/2/2018,4.808,15.489,4.674,3.9,2.73,5,17
2890,13/2/2018,1.508,14.416,9.767,4.62,2.499,1,25.897
2891,16/9/2018,2.923,10.587,2,3.28,2.655,3.99,47
2892,24/6/2018,1.418,11.765,12,1.89,4.607,2.693,39.903
2893,27/2/2018,1.72,12.656,8.434,2.76,1,5,32.926
2894,4/2/2018,2.112,12.049,12,3.51,1.877,1.748,32.748
2895,12/2/2018,2.657,9.767,2,1.49,2.094,3.405,42.636
2896,28/2/2018,1,18.439,2,2.42,3.164,5,35.326
2897,11/2/2018,2.461,13.165,2,2.64,1,1.318,20.34
2898,9/2/2018,2.651,5,5.884,3.66,1,3.814,34.34
2899,11/2/2018,1.348,10.548,12,1.39,4.007,3.342,47
2900,4/2/2018,5,20,6.114,2.84,5,3.478,47
2901,28/2/2018,1.762,14.591,5.876,3.27,3.337,5,47
2902,28/2/2018,3.4,5.112,11.278,3.55,1,4.682,34.518
2903,28/2/2018,2.464,12.856,12,3.32,1.918,4.286,46.213
2904,11/2/2018,1.35,10.84,2,1,3.343,5,41.295
2905,11/2/2018,3.621,15.305,5.109,4.68,3.445,3.486,20.387
2906,11/2/2018,4.345,5,12,5,5,4.688,24.346
2907,25/10/2018,3.442,17.162,2,3.81,1,3.09,22.363
2908,4/2/2018,4.36,5,10.089,1.43,5,4.583,19.784
2909,9/2/2018,4.159,5,2.589,4.43,1.409,3.528,24.059
2910,17/6/2018,2.544,5,12,4.56,3.528,4.148,22.494
2911,23/9/2018,4.013,10.72,10.121,2.48,1.653,1,28.762
2912,12/2/2018,4.06,5,12,2.96,3.456,4.642,30.378
2913,11/2/2018,1.989,5,3.183,4.41,3.025,3.562,29.041
2914,12/2/2018,2.982,5,12,4.42,1.885,4.383,21.684
2915,26/10/2018,2.127,20,3.886,5,1,1.905,47
2916,2/2/2018,4.28,5,2,2.6,1.674,2.505,29.425
2917,12/2/2018,2.47,5,10.128,3.36,3.28,3.296,47
2918,27/2/2018,2.523,10.748,4.606,3.86,2.564,4.429,47
2919,11/2/2018,3.473,6.197,8.126,2.92,1,4.565,36.721
2920,12/2/2018,2.49,8.98,7.562,1.88,1.121,5,17
2921,18/2/2018,2.6,20,2,3.27,4.407,1.869,31.941
2922,10/1/2018,3.363,20,2.4,2.85,3.393,5,29.702
2923,25/2/2018,1.478,19.085,12,4.63,1.514,3.339,23.404
2924,1/3/2018,3.049,5,11.756,2.05,2.219,2.243,17
2925,21/2/2018,1.667,5.593,2.766,1,3.125,2.676,47
2926,24/6/2018,4.549,11.816,2,1,1.516,1.718,21.138
2927,12/2/2018,1.393,5,2,1.39,4.663,4.053,25.908
2928,26/10/2018,1,5,10.593,1.43,1.403,3.452,24.532
2929,25/2/2018,3.392,11.83,2.55,3.73,2.494,1,47
2930,27/2/2018,2.684,12.952,10.706,2,2.878,4.195,27.746
2931,15/2/2018,1,5,12,4.47,5,1.548,47
2932,28/6/2018,4.226,11.903,4.562,2.14,1.524,3.725,17
2933,27/2/2018,1,10.291,2,3.29,3.488,4.305,32.842
2934,27/2/2018,3.128,8.129,2,3.62,2.576,3.737,34.477
2935,2/2/2018,1,11.683,2,3.28,1,1.765,47
2936,11/2/2018,5,5,2,4.17,3.04,3.683,47
2937,28/2/2018,2.51,11.759,11.126,2.75,4.722,1.692,17.599
2938,28/2/2018,1.377,20,12,1,1,1.495,17
2939,18/10/2018,3.309,5,5.632,2.77,1,5,30.79
2940,2/2/2018,4.138,14.387,12,4.63,1,4.506,41.166
2941,19/6/2018,4.857,16.522,10.268,3.6,4.029,3.568,35.766
2942,3/3/2018,4.132,15.438,2,3.33,4.881,3.284,46.607
2943,6/7/2018,1.456,14.654,4.913,3.69,1.775,3.641,17
2944,3/2/2018,3.529,20,7.581,3.64,3.355,5,41.361
2945,11/2/2018,2.523,5,2,3.3,4.587,3.282,47
2946,1/2/2018,2.526,5,12,4.5,3.527,1.319,24.986
2947,12/6/2018,1.542,5,11.863,4.09,2.627,4.526,20.023
2948,19/6/2018,4.607,5,6.4,5,3.513,3.29,21.784
2949,27/2/2018,3.911,5,6.066,4.35,1,1,20.626
2950,1/2/2018,3.433,15.397,2,3.46,3.531,3.438,38.751
2951,15/2/2018,2.487,19.913,2,2.46,2.461,2.589,22.654
2952,12/2/2018,2.487,20,2,1,2.813,5,46.259
2953,1/2/2018,4.117,10.44,5.221,2.45,2.578,3.925,33.741
2954,12/2/2018,2.462,13.815,5.628,1.6,2.789,1,17
2955,18/2/2018,3.04,9.034,11.427,5,3.216,5,45.449
2956,4/2/2018,2.695,20,2,1,1,5,40.908
2957,25/10/2018,3.314,5,2.479,3.17,1.369,4.068,28.781
2958,28/2/2018,2.57,10.459,8.019,3.28,1.497,3.619,24.809
2959,3/2/2018,2.607,16.401,2,1.49,5,3.48,35.941
2960,4/2/2018,2.932,18.619,7.341,2.45,3.431,2.795,40.789
2961,9/11/2018,2.795,12.732,2,1.57,1,2.313,21.12
2962,25/10/2018,1,15.06,9.236,3.54,1.391,4.18,25.411
2963,27/2/2018,3.303,15.992,5.08,2.53,2.466,5,20.026
2964,2/2/2018,2.548,7.403,8.739,3.54,3.461,3.768,39.326
2965,4/2/2018,2.467,16.564,5.419,2.61,1.367,3.312,17
2966,27/2/2018,3.934,5,11.879,4.31,1.698,3.299,28.173
2967,19/2/2018,4.666,5,12,2.57,5,4.368,26.688
2968,23/2/2019,1.533,5,12,2.95,5,1,21.073
2969,11/2/2018,2.865,5.307,10.934,4.44,1.916,4.665,23.237
2970,28/2/2018,1.134,5,5.983,4.52,2.855,4.872,40.539
2971,12/2/2018,1.817,5,11.098,1.59,4.669,4.074,47
2972,11/2/2018,1,10.351,12,3.35,1.663,4.622,47
2973,15/2/2018,2.772,11.298,4.352,2.43,1,3.616,40.964
2974,25/10/2018,4.696,5,5.656,4.35,2.899,4.68,17.166
2975,3/3/2018,1,5,12,3.55,5,2.41,38.588
2976,28/2/2018,4.281,10.588,12,4.04,4.59,1.759,23.203
2977,3/2/2018,2.951,14.208,2,1.5,1.742,1,42.388
2978,1/2/2018,1.403,12.979,11.767,1,2.601,2.574,27.385
2979,11/2/2018,4.309,5,2,4.58,2.506,1,23.558
2980,11/2/2018,3.035,5,12,3.37,2.549,3.52,20.549
2981,3/11/2018,3.374,5,12,5,3.275,1,22.226
2982,3/2/2018,2.488,10.649,2,3.27,4.184,5,34.278
2983,27/2/2018,4.106,10.446,7.538,1.86,3.625,1,25.429
2984,11/6/2018,3.503,5,6.991,3.57,1.465,4.782,23.356
2985,3/2/2018,2.769,11.666,4.905,1,5,4.634,17.93
2986,12/2/2018,2.744,5,5.659,3.32,1.766,1,47
2987,27/2/2018,2.917,18.304,2,4.56,1.823,3.613,18.549
2988,27/2/2018,1.908,7.872,2,3.71,3.414,3.57,38.347
2989,2/3/2019,5,5,9.04,1.42,2.649,3.921,35.283
2990,10/2/2018,1,11.449,2,4,1.081,3.349,31.316
2991,27/2/2018,4.122,14.822,3.933,3.28,1.457,2.853,47
2992,29/10/2018,1,6.862,7.335,4.66,3,4.655,20.2
2993,9/11/2018,4.06,16.408,2,1.79,4.717,3.638,24.129
2994,28/2/2018,1.694,12.986,12,3.37,1,4.694,17
2995,27/2/2018,1.649,7.19,2.639,2.87,3.647,3.481,38.585
2996,2/2/2018,4.721,12.923,6.048,1.39,3.443,4.658,45.966
2997,3/2/2018,1.061,13.643,12,4.69,1.455,3.514,31.961
2998,12/2/2018,4.014,20,10.398,1.46,1.308,4.694,40.678
2999,27/2/2018,2.542,11.938,8.914,3.93,1.056,5,47
3000,1/2/2018,1,5,11.154,1,4.344,5,17
3001,20/6/2018,2.466,7.468,11.943,1.64,4.011,5,21.654
3002,23/9/2018,1,5,11.37,4.25,1.789,3.673,33.454
3003,12/6/2018,4.602,10.543,12,2.09,4.214,3.629,30.436
3004,27/2/2018,1,10.862,6.874,1.45,1,4.489,38.302
3005,5/7/2018,2.471,5,7.435,4.63,1.466,3.768,20.922
3006,9/2/2018,4.115,14.367,2,4.59,5,4.937,24.026
3007,12/6/2018,2.477,10.272,5.157,3.78,4.661,1.879,28.337
3008,28/2/2018,1.742,17.555,4.113,4.39,1.678,3.778,26.934
3009,17/10/2018,2.643,5.61,7.322,4.59,1.909,4.254,29.784
3010,2/2/2018,2.475,15.032,2.11,2.42,3.277,4.271,47
3011,9/2/2018,3.285,17.307,2,4.5,1.618,3.661,42.609
3012,28/2/2018,3.106,5,12,1,3.926,5,37.658
3013,4/2/2018,2.517,5,12,3.57,2.642,3.299,20.252
3014,15/11/2018,5,11.168,2,3.57,3.37,3.987,32.474
3015,11/2/2018,2.743,10.455,2,1.49,2.616,3.665,47
3016,19/2/2018,1,13.468,2.113,2.48,1.64,3.289,40.57
3017,12/2/2018,2.272,5,2.183,3.3,1.448,4.404,37.559
3018,11/2/2018,2.543,10.432,12,3.69,1.483,1.291,33.012
3019,12/2/2018,2.468,12.688,2,3.35,3.905,4.469,21.355
3020,4/2/2018,2.617,12.503,6.299,4.19,2.648,4.486,32.754
3021,12/2/2018,4.068,20,2,3.6,3.296,4.176,27.877
3022,20/2/2018,2.866,15.009,12,3.81,3.355,4.634,36.554
3023,11/2/2018,3.391,5,4.553,4.07,3.784,5,40.888
3024,11/2/2018,2.821,11.215,2,5,5,1,30.143
3025,3/2/2018,1.888,5,12,3.15,1,1,17
3026,10/11/2018,2.976,14.815,2,2.44,5,3.697,47
3027,25/10/2018,2.683,14.71,2,2.48,1,3.356,26.407
3028,10/1/2018,1.62,10.279,4.735,3.31,3.406,4.306,47
3029,12/2/2018,1.892,10.506,11.942,3.27,1.888,4.643,36.032
3030,18/2/2018,1.848,10.494,2,3.86,1,4.757,17
3031,12/2/2018,4.272,11.923,2,2.64,1.884,1.411,46.105
3032,25/10/2018,4.069,10.966,11.017,3.31,3.355,1,23.485
3033,12/2/2018,1.406,10.039,9.308,1.64,4.626,4.618,40.135
3034,11/2/2018,1.292,10.67,12,2.3,1.922,4.628,45.716
3035,11/11/2018,2.361,5,12,3.95,1.661,4.306,36.803
3036,4/2/2018,2.503,5,2.897,3.31,1.076,3.388,28.41
3037,10/11/2018,4.134,12.03,2,2.43,1,3.559,21.786
3038,11/2/2018,2.236,11.108,2,3.7,2.452,4.12,21.469
3039,27/2/2018,2.634,12.264,3.154,3.9,3.488,3.597,24.545
3040,19/6/2018,1.549,5.722,12,4.23,1,5,21.547
3041,27/2/2018,2.866,5,5.012,1,3.132,5,23.238
3042,12/2/2018,2.476,10.869,12,2.62,1.782,3.31,33.024
3043,4/2/2018,2.758,15.269,6.511,1,4.543,2.559,19.536
3044,11/2/2018,2.578,20,2,1.17,3.347,3.446,47
3045,3/2/2018,1.48,11.874,3.847,2.51,3.864,3.783,22.216
3046,2/3/2018,2.543,5,4.786,1.46,2.58,4.463,17
3047,29/10/2018,3.288,16.78,2,2.58,3.492,3.286,21.989
3048,3/3/2018,2.486,18.778,2,3.28,2.259,1.492,41.351
3049,16/2/2018,2.684,11.452,11.689,3.34,2.516,1.614,41.905
3050,27/2/2018,4.13,11.901,12,1,1.549,4.678,39.215
3051,12/2/2018,1,5,4.998,3.5,2.462,3.296,42.321
3052,11/2/2018,1.387,15.687,2,4.02,2.741,1.625,42.906
3053,3/2/2018,2.072,11.047,2,2.42,1.465,4.511,46.797
3054,4/2/2018,1.356,18.808,3.617,5,1,2.363,20.902
3055,3/2/2018,2.53,5,11.723,4.69,1.405,4.268,20.133
3056,9/6/2018,3.519,12.257,2,4.9,3.444,4.319,43.406
3057,19/2/2018,2.94,5.009,12,3.29,1,1.592,42.467
3058,28/2/2018,5,8.724,3.685,3.38,1.469,4.574,47
3059,19/2/2018,1,20,4.705,2.87,2.466,3.359,21.493
3060,17/6/2018,3.329,5.569,2.383,3.49,2.851,4.264,23.7
3061,23/10/2018,4.035,10.259,12,4.55,3.527,3.426,27.217
3062,20/2/2018,1,10.696,6.57,1.46,3.351,3.505,17
3063,10/2/2018,4.051,12.86,2,1.25,1,1.822,24.296
3064,11/2/2018,2.483,12.721,6.419,3.34,3.765,4.317,17.107
3065,12/2/2018,5,5,9.875,4.22,4.666,2.702,47
3066,12/2/2018,2.814,10.327,6.875,1.18,4.702,3.291,41.037
3067,28/2/2018,1,20,5.311,3.39,1,1.876,47
3068,19/6/2018,2.479,5,12,2.6,1.365,3.286,17
3069,12/2/2018,1.202,5,7.711,3.42,1.789,4.629,47
3070,20/2/2018,3.168,5,12,1.97,1.393,3.993,23.233
3071,11/2/2018,5,11.339,12,2.63,4.582,3.358,37.211
3072,18/2/2018,4.158,5,5.742,3.42,4.951,1.224,17
3073,11/2/2018,2.47,5,3.754,5,4.228,1,40.59
3074,17/2/2018,2.47,20,2,4.69,3.384,3.306,20.344
3075,12/2/2018,2.802,16.787,12,1.45,1.48,1.93,21.361
3076,11/2/2018,1,10.271,12,3.38,4.592,4.572,47
3077,26/10/2018,4.443,10.773,2,1.75,4.744,3.342,38.699
3078,28/6/2018,2.464,9.827,12,2.58,1.622,1.591,29.557
3079,11/2/2018,1,5,12,3.88,3.405,1,36.529
3080,12/2/2018,2.47,14.701,12,1,3.235,3.937,24.522
3081,19/2/2018,2.464,10.281,12,3.37,1,1,17.316
3082,20/6/2018,2.358,6.601,12,4.09,1.753,4.099,30.62
3083,28/2/2018,3.355,20,6.807,3.37,1,1.317,45.663
3084,28/2/2018,1.357,5,12,5,1,3.825,22.539
3085,17/2/2018,1.723,18.006,7.493,2.8,2.722,4.156,21.372
3086,11/2/2018,2.858,16.858,2,3.34,4.948,1.178,38.717
3087,11/2/2018,1.564,17.086,2,2.24,5,3.318,17
3088,23/10/2018,4.158,10.299,2,1,4.037,4.775,21.668
3089,28/2/2018,1,16.69,10.919,1.6,2.694,4.65,17
3090,11/2/2018,1,10.56,10.217,3.71,4.707,1.832,20.797
3091,15/2/2018,2.819,5,12,1.52,1.839,4.474,30.082
3092,12/2/2018,4.862,15.218,12,2.6,1.577,3.404,37.899
3093,28/2/2018,4.171,11.027,12,4.32,1.639,1.91,24.937
3094,24/1/2018,2.771,15.468,2,1.38,1.922,5,47
3095,20/2/2018,1,19.491,12,2.86,2.88,3.634,17
3096,11/2/2018,3.154,5,12,4.59,1,5,23.591
3097,11/2/2018,2.513,11.851,2.29,1.62,1,2.028,45.976
3098,9/2/2018,1.752,7.026,3.516,3.76,1.605,3.117,47
3099,12/2/2018,3.33,5,12,5,5,4.96,25.863
3100,11/2/2018,3.04,11.905,2,1.41,1.272,1.665,21.803
3101,10/6/2018,3.225,10.628,7.726,3.45,4.687,5,47
3102,3/2/2018,4.323,11.138,9.028,3.85,1,1,22.571
3103,27/2/2018,3.06,12.666,10.408,1.48,4.004,4.337,40.126
3104,10/11/2018,2.761,12.641,2,2.47,4.703,3.755,20.668
3105,12/2/2018,3.118,5,10.525,4.52,2.503,4.803,34.329
3106,28/2/2018,1.55,10.523,11.313,1.61,1,3.382,17
3107,11/2/2018,1.365,10.4,2,2.67,4.219,3.288,21.271
3108,9/2/2018,4.618,5,2,1.4,1,4.448,35.031
3109,28/2/2018,1.858,20,2,3.23,1,3.465,47
3110,27/2/2018,5,10.42,2,1.92,2.857,1.496,18.863
3111,27/2/2018,1.118,11.044,10.541,5,2.821,4.137,17.091
3112,20/2/2018,2.462,13.624,12,3.34,1,4.698,47
3113,11/2/2018,3.423,11.252,2,1,1.859,3.38,39.404
3114,15/10/2018,2.648,18.249,2,1,3.415,3.675,26.518
3115,27/2/2018,1.957,14.614,10.976,3.29,2.872,4.678,17
3116,4/2/2018,3.81,6.028,12,2.62,5,1.326,31.896
3117,4/2/2018,3.291,5,9.674,3.37,1,2.412,35.907
3118,11/2/2018,2.213,7.657,2,3.37,2.569,5,43.093
3119,3/2/2018,1,13.206,5.058,3.57,1.657,3.974,20.375
3120,28/2/2018,2.999,10.508,12,2.9,3.024,4.538,23.19
3121,11/2/2018,1,14.457,2,1.39,1,5,35.96
3122,9/7/2018,1,19.584,6.936,3.54,2.506,4.682,17
3123,19/2/2018,1,17.499,2.283,1.19,3.47,3.476,24.607
3124,12/2/2018,3.905,18.934,5.99,1,1.92,4.858,38.901
3125,26/6/2018,2.178,5,11.276,2.05,3.657,3.919,25.445
3126,4/2/2018,4.082,20,2,1,3.771,1,21.761
3127,15/2/2018,1.367,5,2,3.41,1.953,3.494,17
3128,4/2/2018,2.466,10.573,8.852,1,5,4.176,28.485
3129,27/2/2018,2.709,18.704,2,2.79,1.799,2.738,33.369
3130,10/1/2018,2.539,12.178,2,2.49,1.91,5,39.866
3131,12/2/2018,2.731,19.473,2,3.27,1.08,1.95,47
3132,1/3/2018,3.09,11.961,2,3.28,2.971,3.697,45.178
3133,27/2/2018,3.712,15.856,2,1.53,4.604,1.356,47
3134,27/2/2018,1.81,11.197,5.873,3.47,2.616,3.543,27.894
3135,10/1/2018,5,16.733,7.781,3.77,1.638,4.441,47
3136,11/2/2018,1.991,5,2.731,1,4.677,4.706,47
3137,28/2/2018,1.381,11.141,12,1.81,3.522,4.788,21.129
3138,10/2/2018,1.914,5,5.798,3.41,3.529,4.608,36.782
3139,20/2/2018,2.482,6.918,12,1.39,4.467,4.599,44.017
3140,27/2/2018,1,15.877,12,2.53,1,3.397,39.516
3141,4/2/2018,3.289,20,12,4.15,1.53,1.949,39.161
3142,12/2/2018,2.953,10.923,2,3.27,1.813,1.397,41.933
3143,25/10/2018,3.296,15.563,12,3.84,2.351,3.54,35.645
3144,28/2/2018,2.84,5,6.978,3.43,4.63,3.276,47
3145,25/10/2018,2.862,5,3.044,3.32,1,3.605,26.16
3146,15/2/2018,1,13.717,2,3.38,3.495,3.681,34.253
3147,3/2/2018,2.299,11.115,12,1.47,1.582,4.554,23.002
3148,27/2/2018,2,16.992,4.66,3.38,1.798,4.652,47
3149,4/2/2018,3.856,7.817,6.218,1.72,1.693,3.608,35.883
